match,teamInning,battingPosition,batsman,R,B,M,4s,6s,SR,match_id,out/not_out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,5,Vriitya Aravind ,9,18,26,1,0,50.00,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,6,Basil Hameed,2,6,14,0,0,33.33,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,7,Aayan Afzal Khan,19,21,33,1,0,90.47,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,8,Kashif Daud,0,4,8,0,0,0.00,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,9,Karthik Meiyappan,4,8,11,0,0,50.00,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,10,Junaid Siddique,18,16,22,1,1,112.50,T20I # 1832,out
Sri Lanka Vs United Arab Emirates,United Arab Emirates,11,Zahoor Khan,1,1,15,0,0,100.00,T20I # 1832,not_out
Scotland Vs Ireland,Scotland,1,George Munsey ,1,2,9,0,0,50.00,T20I # 1833,out
Scotland Vs Ireland,Scotland,2,Michael Jones ,86,55,95,6,4,156.36,T20I # 1833,out
Scotland Vs Ireland,Scotland,3,Matthew Cross ,28,21,33,5,0,133.33,T20I # 1833,out
Scotland Vs Ireland,Scotland,4,Richie Berrington (c),37,27,39,3,1,137.03,T20I # 1833,out
Scotland Vs Ireland,Scotland,5,Michael Leask ,17,13,19,2,0,130.76,T20I # 1833,not_out
Scotland Vs Ireland,Scotland,6,Calum MacLeod ,0,3,6,0,0,0.00,T20I # 1833,out
Scotland Vs Ireland,Ireland,1,Paul Stirling,8,10,22,1,0,80.00,T20I # 1833,out
Scotland Vs Ireland,Ireland,2,Andy Balbirnie (c),14,12,15,2,0,116.66,T20I # 1833,out
Scotland Vs Ireland,Ireland,3,Lorcan Tucker ,20,17,28,2,0,117.64,T20I # 1833,out
Scotland Vs Ireland,Ireland,4,Harry Tector,14,16,23,1,0,87.50,T20I # 1833,out
Scotland Vs Ireland,Ireland,5,Curtis Campher,72,32,48,7,2,225.00,T20I # 1833,not_out
Scotland Vs Ireland,Ireland,6,George Dockrell,39,27,42,4,1,144.44,T20I # 1833,not_out
West Indies Vs Zimbabwe,West Indies,1,Kyle Mayers ,13,12,17,2,0,108.33,T20I # 1834,out
West Indies Vs Zimbabwe,West Indies,2,Johnson Charles ,45,36,60,3,2,125.00,T20I # 1834,out
West Indies Vs Zimbabwe,West Indies,3,Evin Lewis ,15,18,28,1,0,83.33,T20I # 1834,out
West Indies Vs Zimbabwe,West Indies,4,Nicholas Pooran (c),7,9,10,0,0,77.77,T20I # 1834,out
West Indies Vs Zimbabwe,West Indies,5,Rovman Powell ,28,21,40,1,2,133.33,T20I # 1834,out
West Indies Vs Zimbabwe,West Indies,6,Shamarh Brooks ,0,3,5,0,0,0.00,T20I # 1834,out
West Indies Vs Zimbabwe,West Indies,7,Jason Holder ,4,3,3,0,0,133.33,T20I # 1834,out
West Indies Vs Zimbabwe,West Indies,8,Akeal Hosein ,23,18,31,2,0,127.77,T20I # 1834,not_out
West Indies Vs Zimbabwe,West Indies,9,Odean Smith ,1,2,2,0,0,50.00,T20I # 1834,not_out
West Indies Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,27,19,37,3,1,142.10,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,2,Regis Chakabva (c),13,9,14,3,0,144.44,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,3,Tony Munyonga,2,6,12,0,0,33.33,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,4,Sean Williams,1,2,4,0,0,50.00,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,14,8,12,1,1,175.00,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,6,Milton Shumba,2,9,20,0,0,22.22,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,7,Ryan Burl,17,19,30,3,0,89.47,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,8,Luke Jongwe,29,22,31,3,1,131.81,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,9,Richard Ngarava,2,6,11,0,0,33.33,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,10,Tendai Chatara,3,8,12,0,0,37.50,T20I # 1834,out
West Indies Vs Zimbabwe,Zimbabwe,11,Blessing Muzarabani,1,4,4,0,0,25.00,T20I # 1834,not_out
Sri Lanka Vs Netherlands,Sri Lanka,1,Pathum Nissanka ,14,21,25,0,1,66.66,T20I # 1835,out
Sri Lanka Vs Netherlands,Sri Lanka,2,Kusal Mendis ,79,44,94,5,5,179.54,T20I # 1835,out
Sri Lanka Vs Netherlands,Sri Lanka,3,Dhananjaya de Silva ,0,1,2,0,0,0.00,T20I # 1835,out
Sri Lanka Vs Netherlands,Sri Lanka,4,Charith Asalanka ,31,30,38,3,0,103.33,T20I # 1835,out
Sri Lanka Vs Netherlands,Sri Lanka,5,Bhanuka Rajapaksa ,19,13,18,2,0,146.15,T20I # 1835,out
Sri Lanka Vs Netherlands,Sri Lanka,6,Dasun Shanaka (c),8,5,9,0,1,160.00,T20I # 1835,out
Sri Lanka Vs Netherlands,Sri Lanka,7,Wanindu Hasaranga de Silva ,5,4,8,0,0,125.00,T20I # 1835,not_out
Sri Lanka Vs Netherlands,Sri Lanka,8,Chamika Karunaratne ,2,2,4,0,0,100.00,T20I # 1835,not_out
Sri Lanka Vs Netherlands,Netherlands,1,Max O'Dowd,71,53,99,6,3,133.96,T20I # 1835,not_out
Sri Lanka Vs Netherlands,Netherlands,2,Vikramjit Singh,7,14,18,0,0,50.00,T20I # 1835,out
Sri Lanka Vs Netherlands,Netherlands,3,Bas de Leede,14,10,12,1,1,140.00,T20I # 1835,out
Sri Lanka Vs Netherlands,Netherlands,4,Colin Ackermann,0,1,4,0,0,0.00,T20I # 1835,out
Sri Lanka Vs Netherlands,Netherlands,5,Tom Cooper,16,19,23,2,0,84.21,T20I # 1835,out
Sri Lanka Vs Netherlands,Netherlands,6,Scott Edwards (c),21,15,16,3,0,140.00,T20I # 1835,out
Sri Lanka Vs Netherlands,Netherlands,7,Tim Pringle,2,4,8,0,0,50.00,T20I # 1835,out
Sri Lanka Vs Netherlands,Netherlands,8,Timm van der Gugten,0,1,2,0,0,0.00,T20I # 1835,out
Sri Lanka Vs Netherlands,Netherlands,9,Fred Klaassen,3,3,5,0,0,100.00,T20I # 1835,out
Sri Lanka Vs Netherlands,Netherlands,10,Paul van Meekeren,0,0,4,0,0,-,T20I # 1835,out
Sri Lanka Vs Netherlands,Netherlands,11,Roelof van der Merwe,0,1,14,0,0,0.00,T20I # 1835,not_out
United Arab Emirates Vs Namibia,United Arab Emirates,1,Muhammad Waseem ,50,41,66,1,3,121.95,T20I # 1836,out
United Arab Emirates Vs Namibia,United Arab Emirates,2,Vriitya Aravind ,21,32,34,2,0,65.62,T20I # 1836,out
United Arab Emirates Vs Namibia,United Arab Emirates,3,Chundangapoyil Rizwan (c),43,29,55,3,1,148.27,T20I # 1836,not_out
United Arab Emirates Vs Namibia,United Arab Emirates,4,Alishan Sharafu ,4,4,10,0,0,100.00,T20I # 1836,out
United Arab Emirates Vs Namibia,United Arab Emirates,5,Basil Hameed ,25,14,13,2,2,178.57,T20I # 1836,not_out
United Arab Emirates Vs Namibia,Namibia,1,Michael van Lingen,10,8,14,1,0,125.00,T20I # 1836,out
United Arab Emirates Vs Namibia,Namibia,2,Stephan Baard,4,6,9,1,0,66.66,T20I # 1836,out
United Arab Emirates Vs Namibia,Namibia,3,Jan Nicol Loftie-Eaton,1,6,17,0,0,16.66,T20I # 1836,out
United Arab Emirates Vs Namibia,Namibia,4,Gerhard Erasmus (c),16,18,23,2,0,88.88,T20I # 1836,out
United Arab Emirates Vs Namibia,Namibia,5,Jan Frylinck,14,17,33,1,0,82.35,T20I # 1836,out
United Arab Emirates Vs Namibia,Namibia,6,JJ Smit,3,3,3,0,0,100.00,T20I # 1836,out
United Arab Emirates Vs Namibia,Namibia,7,David Wiese,55,36,65,3,3,152.77,T20I # 1836,out
United Arab Emirates Vs Namibia,Namibia,8,Zane Green ,2,3,3,0,0,66.66,T20I # 1836,out
United Arab Emirates Vs Namibia,Namibia,9,Ruben Trumpelmann,25,24,43,1,1,104.16,T20I # 1836,not_out
United Arab Emirates Vs Namibia,Namibia,10,Bernard Scholtz,1,1,-,0,0,100.00,T20I # 1836,not_out
West Indies Vs Ireland,West Indies,1,Kyle Mayers ,1,5,12,0,0,20.00,T20I # 1837,out
West Indies Vs Ireland,West Indies,2,Johnson Charles ,24,18,22,3,1,133.33,T20I # 1837,out
West Indies Vs Ireland,West Indies,3,Evin Lewis ,13,18,42,0,0,72.22,T20I # 1837,out
West Indies Vs Ireland,West Indies,4,Brandon King ,62,48,80,6,1,129.16,T20I # 1837,not_out
West Indies Vs Ireland,West Indies,5,Nicholas Pooran (c),13,11,16,0,1,118.18,T20I # 1837,out
West Indies Vs Ireland,West Indies,6,Rovman Powell ,6,8,12,1,0,75.00,T20I # 1837,out
West Indies Vs Ireland,West Indies,7,Odean Smith ,19,12,18,1,2,158.33,T20I # 1837,not_out
West Indies Vs Ireland,Ireland,1,Paul Stirling,66,48,79,6,2,137.50,T20I # 1837,not_out
West Indies Vs Ireland,Ireland,2,Andy Balbirnie (c),37,23,34,3,3,160.86,T20I # 1837,out
West Indies Vs Ireland,Ireland,3,Lorcan Tucker ,45,35,46,2,2,128.57,T20I # 1837,not_out
Scotland Vs Zimbabwe,Scotland,1,George Munsey ,54,51,74,7,0,105.88,T20I # 1838,out
Scotland Vs Zimbabwe,Scotland,2,Michael Jones ,4,5,6,1,0,80.00,T20I # 1838,out
Scotland Vs Zimbabwe,Scotland,3,Matthew Cross ,1,7,15,0,0,14.28,T20I # 1838,out
Scotland Vs Zimbabwe,Scotland,4,Richie Berrington (c),13,15,24,0,0,86.66,T20I # 1838,out
Scotland Vs Zimbabwe,Scotland,5,Calum MacLeod ,25,26,46,1,0,96.15,T20I # 1838,out
Scotland Vs Zimbabwe,Scotland,6,Michael Leask ,12,9,11,2,0,133.33,T20I # 1838,out
Scotland Vs Zimbabwe,Scotland,7,Chris Greaves ,3,7,10,0,0,42.85,T20I # 1838,not_out
Scotland Vs Zimbabwe,Scotland,8,Josh Davey ,4,3,3,0,0,133.33,T20I # 1838,not_out
Scotland Vs Zimbabwe,Zimbabwe,1,Regis Chakabva ,4,3,3,1,0,133.33,T20I # 1838,out
Scotland Vs Zimbabwe,Zimbabwe,2,Craig Ervine (c),58,54,79,6,0,107.40,T20I # 1838,out
Scotland Vs Zimbabwe,Zimbabwe,3,Wessly Madhevere,0,5,8,0,0,0.00,T20I # 1838,out
Scotland Vs Zimbabwe,Zimbabwe,4,Sean Williams,7,12,28,0,0,58.33,T20I # 1838,out
Scotland Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,40,23,34,3,2,173.91,T20I # 1838,out
Scotland Vs Zimbabwe,Zimbabwe,6,Milton Shumba,11,11,16,0,0,100.00,T20I # 1838,not_out
Scotland Vs Zimbabwe,Zimbabwe,7,Ryan Burl,9,5,7,1,0,180.00,T20I # 1838,not_out
New Zealand Vs Australia,New Zealand,1,Finn Allen ,42,16,24,5,3,262.50,T20I # 1839,out
New Zealand Vs Australia,New Zealand,2,Devon Conway ,92,58,106,7,2,158.62,T20I # 1839,not_out
New Zealand Vs Australia,New Zealand,3,Kane Williamson (c),23,23,48,1,1,100.00,T20I # 1839,out
New Zealand Vs Australia,New Zealand,4,Glenn Phillips ,12,10,16,2,0,120.00,T20I # 1839,out
New Zealand Vs Australia,New Zealand,5,James Neesham ,26,13,19,0,2,200.00,T20I # 1839,not_out
New Zealand Vs Australia,Australia,1,David Warner,5,6,7,1,0,83.33,T20I # 1839,out
New Zealand Vs Australia,Australia,2,Aaron Finch (c),13,11,20,1,1,118.18,T20I # 1839,out
New Zealand Vs Australia,Australia,3,Mitchell Marsh,16,12,17,2,1,133.33,T20I # 1839,out
New Zealand Vs Australia,Australia,4,Glenn Maxwell,28,20,47,3,1,140.00,T20I # 1839,out
New Zealand Vs Australia,Australia,5,Marcus Stoinis,7,14,16,0,0,50.00,T20I # 1839,out
New Zealand Vs Australia,Australia,6,Tim David,11,8,12,0,1,137.50,T20I # 1839,out
New Zealand Vs Australia,Australia,7,Matthew Wade ,2,4,10,0,0,50.00,T20I # 1839,out
New Zealand Vs Australia,Australia,8,Pat Cummins,21,18,27,2,1,116.66,T20I # 1839,out
New Zealand Vs Australia,Australia,9,Mitchell Starc,4,7,13,0,0,57.14,T20I # 1839,out
New Zealand Vs Australia,Australia,10,Adam Zampa,0,2,3,0,0,0.00,T20I # 1839,out
New Zealand Vs Australia,Australia,11,Josh Hazlewood,1,1,6,0,0,100.00,T20I # 1839,not_out
Afghanistan Vs England,Afghanistan,1,Hazratullah Zazai ,7,17,31,1,0,41.17,T20I # 1840,out
Afghanistan Vs England,Afghanistan,2,Rahmanullah Gurbaz ,10,9,13,0,1,111.11,T20I # 1840,out
Afghanistan Vs England,Afghanistan,3,Ibrahim Zadran ,32,32,41,3,1,100.00,T20I # 1840,out
Afghanistan Vs England,Afghanistan,4,Usman Ghani ,30,30,60,3,0,100.00,T20I # 1840,out
Afghanistan Vs England,Afghanistan,5,Najibullah Zadran ,13,11,15,0,1,118.18,T20I # 1840,out
Afghanistan Vs England,Afghanistan,6,Mohammad Nabi (c),3,5,7,0,0,60.00,T20I # 1840,out
Afghanistan Vs England,Afghanistan,7,Azmatullah Omarzai ,8,6,11,1,0,133.33,T20I # 1840,out
Afghanistan Vs England,Afghanistan,8,Rashid Khan ,0,1,2,0,0,0.00,T20I # 1840,out
Afghanistan Vs England,Afghanistan,9,Mujeeb Ur Rahman ,0,1,3,0,0,0.00,T20I # 1840,out
Afghanistan Vs England,Afghanistan,10,Fareed Ahmad ,2,4,7,0,0,50.00,T20I # 1840,not_out
Afghanistan Vs England,Afghanistan,11,Fazalhaq Farooqi ,0,2,3,0,0,0.00,T20I # 1840,out
Afghanistan Vs England,England,1,Jos Buttler (c),18,18,25,3,0,100.00,T20I # 1840,out
Afghanistan Vs England,England,2,Alex Hales,19,20,41,0,1,95.00,T20I # 1840,out
